FishID,DO,Mass,Length,Condition Factor,Catchability ,bodyL,bodyW,eyeH,headH,caudalW,a,b,c,body ratio,head ratio,caudal ratio,head angle,BlueMean,GreenMean,RedMean,BlueStdDev,GreenStdDev,RedStdDev,BlueMin,GreenMin,RedMin,BlueMax,GreenMax,RedMax,Marks
71,18.7,1.08,54,0.685871056,2,131.4610208,28.0713377,7,21.02379604,16.4924225,17.69180601,16.64331698,21.02379604,0.213533544,0.332956046,0.125454849,75.44461623,97.9381,97.7488,73.0374,9.5713,12.6436,19.821,85.7,81.7,45.2,116.1,121.7,109,10
72,18.4,0.97,47,0.934282384,2,169.1064753,33.13608305,4.123105626,23.02172887,14.86606875,19.10497317,18.02775638,23.02172887,0.195948044,0.179096264,0.087909518,76.56897113,100.3823333,104.7208333,88.12116667,14.8595,17.64666667,20.673,81.66666667,81.83333333,57.33333333,126,135.1666667,122.3333333,6
73,17.7,1.71,59,0.832607034,2,171.9447586,31.57530681,4.123105626,22.8035085,21.84032967,19.79898987,21.54065923,22.8035085,0.183636344,0.180810143,0.127019456,66.80140949,91.83954545,94.35154545,77.66381818,10.99536364,14.85536364,20.86236364,74.54545455,70.72727273,37.72727273,112.9090909,122.4545455,114.5454545,11
74,17.3,1.42,61,0.625603024,2,170.5754965,32.24903099,6.08276253,22.13594362,15.8113883,20,19.6468827,22.13594362,0.189060162,0.274791201,0.092694371,67.87366519,106.7623333,101.5786667,86.75311111,12.22444444,15.97255556,22.254,89.66666667,79.22222222,51.77777778,126.6666667,127.4444444,121.8888889,9
75,17.2,1.62,62,0.679735491,2,150.6154043,26.68332813,8.544003745,22.36067977,14.56021978,19.10497317,20.1246118,22.36067977,0.177162012,0.382099463,0.096671518,69.44395478,105.15975,104.1875,95.826375,5.9885,7.845125,10.751,97.875,94.625,81.75,113.625,115.125,109.75,8
76,16.9,0.93,53,0.624676747,2,227.2201576,39.81205847,7,29.01723626,20.02498439,26.90724809,23.70653918,29.01723626,0.175213585,0.241235931,0.088130316,69.63318786,84.44075,86.212,75.045,7.94675,10.319125,12.471625,73.375,71.875,55.5,99.375,105.875,97.875,8
77,16.9,3.58,84,0.604011446,2,147.6651618,25.07987241,7.280109889,20.61552813,10.19803903,17.20465053,16.15549442,20.61552813,0.169842853,0.3531372,0.069061916,76.26373169,128.412375,127.772,117.328375,10.042625,12.53175,13.74075,112.25,106.375,90.375,152.125,156.25,144.875,8
78,16.9,1,53,0.671695426,2,132.4575404,24.0208243,5.385164807,17.4642492,14.14213562,16.2788206,15.8113883,17.4642492,0.181347353,0.30835364,0.106767313,65.92450174,96.23114286,103.3228571,91.11385714,13.65242857,18.34471429,21.68085714,79.28571429,79.42857143,57.14285714,125.7142857,142.4285714,133.5714286,7
79,16.9,0.75,47,0.722383287,2,178.549713,31.01612484,9.055385138,25.01999201,17.72004515,23.34523506,20.1246118,25.01999201,0.173711424,0.36192598,0.099244322,69.82934659,81.3299,80.8827,70.5351,6.915,9.0917,14.4231,74.2,71.4,54.7,91.1,93.8,91.1,10
80,16.8,1.77,62,0.742673962,2,125.7179383,22.13594362,3.605551275,19.6468827,13,18.78829423,13.15294644,19.6468827,0.176076254,0.183517728,0.103406087,73.54503862,113.234,113.2758571,100.3328571,8.784428571,11.16742857,15.66485714,99.14285714,94.28571429,74,128.7142857,132.7142857,127.4285714,7
81,16.8,0.61,44,0.71609692,2,220.9524836,44.72135955,10.44030651,29.61418579,24.20743687,23.43074903,23.70653918,29.61418579,0.202402611,0.352544101,0.109559469,77.84040427,68.52642857,66.50085714,50.02585714,5.225571429,7.484714286,15.882,61.71428571,56.42857143,25.85714286,75.85714286,76.85714286,68.71428571,7
82,16.7,3.63,76,0.826924479,2,139.0323703,29.01723626,7.071067812,22,13,19.79898987,16.1245155,22,0.208708491,0.321412173,0.093503405,74.7448813,110.0883333,108.0368333,94.15758333,8.063333333,10.58,14.06541667,96.41666667,89.58333333,67.5,126.9166667,129.75,122.0833333,12
83,16.7,0.79,48,0.714337384,2,173.6663468,36.67424164,7.280109889,24.33105012,17.11724277,23.02172887,17.72004515,24.33105012,0.211176445,0.299210673,0.098563959,72.00919561,98.7794,101.1354,94.1528,7.8948,9.976,12.8072,87.8,86.4,73.8,112.8,118.8,116.4,5
84,16.7,2,61,0.88113102,2,163.9573115,33.54101966,6.08276253,23.76972865,18.97366596,21.9544984,17.4642492,23.76972865,0.204571662,0.255903743,0.115723207,73.17193709,109.196875,112.3965,102.7535,7.025,8.91175,11.90975,97.875,97,80.875,123.375,129.5,126.25,8
85,16.3,1.34,60,0.62037037,2,126.6688596,23.02172887,4,20,14.56021978,18.38477631,14.76482306,20,0.181747344,0.2,0.114947113,73.30075577,108.3813077,107.2616923,95.688,9.711076923,12.65784615,18.52538462,94.92307692,89.46153846,68.46153846,123.6923077,126.9230769,124.0769231,13
86,16.2,0.65,47,0.626065515,2,188.5974549,37.33630941,7.071067812,27,24.08318916,24.8394847,17.88854382,27,0.197968257,0.2618914,0.127696257,76.46414363,84.30266667,85.42666667,75.02044444,8.303666667,11.27088889,19.84111111,72.11111111,68.66666667,42.44444444,98.22222222,103.6666667,103,9
87,16.2,2.13,68,0.677411968,2,226.4332131,47.09564736,9.055385138,32.01562119,25.07987241,27.58622845,23.32380758,32.01562119,0.207989132,0.282842712,0.110760573,77.43255725,96.05522222,94.53044444,87.36633333,8.155111111,10.67466667,13.95744444,83.11111111,77.44444444,61.88888889,112.5555556,116,114.5555556,9
88,16,4.04,80,0.7890625,2,206.0728027,41.59326869,11.04536102,30.01666204,21.84032967,27.65863337,21.02379604,30.01666204,0.20183774,0.367974327,0.105983562,74.7448813,112.371,116.0322,105.7951,10.0945,12.4641,15.4732,98.1,97.7,81.5,135.3,144.2,140.6,10
89,15.8,3.24,73,0.832868486,2,176.0823671,32.55764119,7.280109889,24.51530134,18.43908891,20.24845673,17.4642492,24.51530134,0.184900065,0.296961876,0.104718543,80.72413481,101.4977778,104.5796667,93.08444444,12.734,15.96811111,19.98455556,82.11111111,79.55555556,56.44444444,126.6666667,135.6666667,131.1111111,9
90,15.7,1.87,63,0.747859402,2,178.7568181,34.23448554,6.08276253,26.30589288,19.6468827,24.41311123,18.97366596,26.30589288,0.191514292,0.231231936,0.109908438,73.44292862,118.9441,124.6727,108.995,10.6089,14.6566,19.5665,104.6,104.8,81.5,139.1,152.5,145.1,10
91,15.4,2.02,63,0.807848125,2,177.766701,37.36308338,7.280109889,25.96150997,16.2788206,22.02271555,22.47220505,25.96150997,0.21018044,0.280419355,0.091574072,71.38199819,100.122,103.911375,89.920875,11.918875,15.593375,21.64925,82.5,80.375,54.75,122.5,133.375,131.375,8
92,15.4,1.5,59,0.730357047,2,164.6147017,34.23448554,5.099019514,25.3179778,20.02498439,20.61552813,19.23538406,25.3179778,0.207967364,0.201399162,0.121647606,78.80341214,92.16928571,89.52228571,87.43457143,6.858285714,8.914142857,12.71185714,82.28571429,76.85714286,69.71428571,107,109.5714286,115.5714286,7
93,15,2.55,69,0.776234441,2,192.3538406,42.20189569,7.615773106,26.92582404,20.61552813,23.60084744,22.13594362,26.92582404,0.219397209,0.282842712,0.107175027,72.05059701,89.61844444,94.04877778,88.87188889,9.421222222,12.10755556,16.37811111,75.44444444,75.88888889,61.88888889,112.1111111,122.7777778,126.3333333,9
